Subject,Avg_Accuracy,Min_Accuracy,Max_Accuracy,Num_Runs,Classification
15,0.9398939304655274,0.9007071302298173,0.9625810253388333,7,Easy
6,0.8288155568650559,0.807307012374779,0.8515026517383618,7,Easy
14,0.823259533630777,0.7928697701826753,0.8632881555686506,7,Easy
8,0.7769172489266774,0.7460223924572775,0.8214496169711255,7,Medium
1,0.7215253809243203,0.6991750147318798,0.7480848556275781,7,Medium
5,0.7197575553497769,0.6947554507955215,0.7365939893930465,7,Medium
3,0.7063304992002694,0.6302298173246906,0.7551561579257513,7,Medium
9,0.6935769004124925,0.6473187978786094,0.7348261638185032,7,Medium
10,0.6701742570923478,0.6225692398350029,0.7012374779021803,7,Medium
11,0.6601144877514943,0.6263995285798468,0.6841484973482617,7,Medium
4,0.6271992591969021,0.598408956982911,0.6838538597525045,7,Medium
7,0.5846872632376463,0.5671773718326458,0.6154979375368297,7,Hard
13,0.5482363835339675,0.5038302887448438,0.5989982321744255,7,Hard
2,0.47024160282852095,0.4228049499116087,0.5144372421921037,7,Hard
12,0.3641299772708141,0.3238067177371833,0.4331172657631114,7,Hard
